Event Name,Event Type,Event Description,Date & Time,Duration (hrs),City,Country,Latitude,Longitude,Attendees,Average Rating,Review Count,Cost,Target Audience
Cycling Race through Hat Yai,Sports,Cycling Race through Hat Yai is set to bring an adrenaline rush with exciting games and activities.,2025-01-15 07:43:57,2,Hat Yai,Thailand,6.224497238701522,103.10605435219162,3068,3.4,157,Low,Nomads
Street Food Market in Phuket,Food,"Foodies, don’t miss Street Food Market in Phuket, the ultimate festival for street food and gourmet treats.",2025-01-01 23:24:34,6,Phuket,Thailand,8.413456994583715,99.56599248678933,1831,3.6,370,High,Locals
Beach Volleyball Tournament in Rayong,Sports,Join us at Beach Volleyball Tournament in Rayong and test your fitness in a friendly and challenging environment.,2025-03-08 23:38:10,2,Rayong,Thailand,14.480563893872786,98.12579846097672,2085,3.1,965,High,Nomads
Street Food Market in Pattaya,Food,Street Food Market in Pattaya brings together top chefs and food vendors for a taste experience like no other.,2025-01-03 22:45:12,4,Pattaya,Thailand,12.98978338163133,97.47739243223174,1564,4.8,668,Free,Everyone
Web Development Workshop in Khon Kaen,Technology,"Dive into the latest innovations at Web Development Workshop in Khon Kaen, where tech meets creativity.",2025-03-06 13:57:38,4,Khon Kaen,Thailand,14.90689793682291,101.23794087938253,4057,3.1,79,Free,Locals
Indie Rock Fest in Kanchanaburi,Music,"Join us for Indie Rock Fest in Kanchanaburi, where you'll enjoy an evening of live music and unforgettable performances.",2025-02-24 17:58:09,6,Kanchanaburi,Thailand,8.53251677449191,99.84441642346549,3821,3.4,142,High,Expats
Thai Language & Cultural Learning in Kanchanaburi,Education,Join experts at Thai Language & Cultural Learning in Kanchanaburi for insightful discussions and hands-on learning experiences.,2025-01-06 17:05:34,6,Kanchanaburi,Thailand,9.680626386617206,99.99471800986676,1168,3.9,378,High,Everyone
Marathon Challenge in Trang,Sports,Marathon Challenge in Trang is your chance to experience the thrill of competition and sportsmanship.,2025-02-09 21:48:35,6,Trang,Thailand,14.585551227934955,100.03165129168558,2541,3.1,270,Free,Expats
Theatre & Performing Arts Festival in Rayong,Arts,"Theatre & Performing Arts Festival in Rayong is a must-visit for art lovers, featuring exhibitions, workshops, and live performances.",2025-01-31 14:21:44,3,Rayong,Thailand,18.468180439366805,101.45637959739392,1933,3.7,335,Free,Expats
Web Development Workshop in Trang,Technology,"Step into the world of tomorrow at Web Development Workshop in Trang, a tech event designed for innovators.",2025-01-16 12:24:08,1,Trang,Thailand,7.807502757521323,101.2375512680915,2586,3.9,989,Medium,Locals
Motorbike Road Trip Through Chiang Mai,Travel,"Get inspired at Motorbike Road Trip Through Chiang Mai, where travel enthusiasts share their stories and experiences.",2025-02-18 16:01:37,1,Chiang Mai,Thailand,5.453927138056878,103.4200266689931,3701,4.6,922,High,Locals
