Event Name,Event Type,Event Description,Date & Time,Duration (hrs),City,Country,Latitude,Longitude,Attendees,Average Rating,Review Count,Cost,Target Audience
Traditional Thai Sports Carnival in Hat Yai,Sports,"Experience competitive spirit and high energy at the Traditional Thai Sports Carnival in Hat Yai, a celebration of movement and sports in Hat Yai.",1/15/2025 7:43,2,Hat Yai,Thailand,6.224497239,103.1060544,3068,3.4,157,Low,Nomads
Songkran Island Street Feast of Food in Phuket,Food,"Experience the taste of Thailand at the Songkran Island Street Feast of Food in Phuket, featuring iconic dishes and culinary traditions from Phuket.",1/1/2025 23:24,6,Phuket,Thailand,8.413456995,99.56599249,1831,3.6,370,High,Locals
Highland Marathon in Rayong,Sports,"Experience competitive spirit and high energy at the Highland Marathon in Rayong, a celebration of movement and sports in Rayong.",3/8/2025 23:38,2,Rayong,Thailand,14.48056389,98.12579846,2085,3.1,965,High,Nomads
Thai Festival of Food in Pattaya,Food,"Experience the taste of Thailand at the Thai Festival of Food in Pattaya, featuring iconic dishes and culinary traditions from Pattaya.",1/3/2025 22:45,4,Pattaya,Thailand,12.98978338,97.47739243,1564,4.8,668,Free,Everyone
FutureCode Conference in Khon Kaen,Technology,"Join leading tech minds and innovators at the FutureCode Conference in Khon Kaen, where the future of technology unfolds in Khon Kaen.",3/6/2025 13:57,4,Khon Kaen,Thailand,14.90689794,101.2379409,4057,3.1,79,Free,Locals
River Vibes Live in Kanchanaburi,Music,"Enjoy live performances and local rhythms at the River Vibes Live in Kanchanaburi, celebrating Thai music culture in Kanchanaburi.",2/24/2025 17:58,6,Kanchanaburi,Thailand,8.532516774,99.84441642,3821,3.4,142,High,Expats
Community Wisdom Expo in Kanchanaburi,Education,"Engage in dialogue and discovery at the Community Wisdom Expo in Kanchanaburi, an inspiring event promoting lifelong learning in Kanchanaburi.",1/6/2025 17:05,6,Kanchanaburi,Thailand,9.680626387,99.99471801,1168,3.9,378,High,Everyone
Thai Cultural Showcase of Sports in Trang,Sports,"Compete or cheer at the Thai Cultural Showcase of Sports in Trang, an action-packed sports celebration highlighting strength and spirit in Trang.",2/9/2025 21:48,6,Trang,Thailand,14.58555123,100.0316513,2541,3.1,270,Free,Expats
Sacred Ceremony of Arts in Rayong,Arts,"Explore Thai creativity at the Sacred Ceremony of Arts in Rayong, a vibrant showcase of traditional and contemporary arts in Rayong.",1/31/2025 14:21,3,Rayong,Thailand,18.46818044,101.4563796,1933,3.7,335,Free,Expats
CyberSec Forum Thailand in Trang,Technology,"Join leading tech minds and innovators at the CyberSec Forum Thailand in Trang, where the future of technology unfolds in Trang.",1/16/2025 12:24,1,Trang,Thailand,7.807502758,101.2375513,2586,3.9,989,Medium,Locals
Thai Islands Explorer Fest in Chiang Mai,Travel,"Meet fellow travelers and discover new destinations at the Thai Islands Explorer Fest in Chiang Mai, spotlighting adventure and exploration in Chiang Mai.",2/18/2025 16:01,1,Chiang Mai,Thailand,5.453927138,103.4200267,3701,4.6,922,High,Locals
Regional Thai Sports League in Chonburi,Sports,"Experience competitive spirit and high energy at the Regional Thai Sports League in Chonburi, a celebration of movement and sports in Chonburi.",3/6/2025 12:28,1,Chonburi,Thailand,13.32688986,99.67963754,4533,4.4,650,Medium,Locals
Thai Ceremony of Arts in Kanchanaburi,Arts,"Explore Thai creativity at the Thai Ceremony of Arts in Kanchanaburi, a vibrant showcase of traditional and contemporary arts in Kanchanaburi.",1/24/2025 7:07,3,Kanchanaburi,Thailand,13.48546964,96.47349615,144,3.2,855,Low,Nomads
FutureCode Conference in Koh Samui,Technology,"Join leading tech minds and innovators at the FutureCode Conference in Koh Samui, where the future of technology unfolds in Koh Samui.",2/12/2025 9:57,4,Koh Samui,Thailand,14.54942917,96.86276349,4772,4.3,260,High,Everyone
Highland Athletics Challenge in Chiang Rai,Sports,"Join athletes and fans at the Highland Athletics Challenge in Chiang Rai, where tradition and energy drive Thai sports in Chiang Rai.",1/9/2025 7:26,4,Chiang Rai,Thailand,9.592176153,96.99372427,2665,3.9,143,High,Expats
Cultural Festival of Arts in Ayutthaya,Arts,"Explore Thai creativity at the Cultural Festival of Arts in Ayutthaya, a vibrant showcase of traditional and contemporary arts in Ayutthaya.",1/1/2025 15:19,4,Ayutthaya,Thailand,5.124996699,98.06203763,4166,4.2,214,High,Everyone
Street Run in Bangkok,Sports,"Compete or cheer at the Street Run in Bangkok, an action-packed sports celebration highlighting strength and spirit in Bangkok.",2/1/2025 1:40,2,Bangkok,Thailand,5.468880394,96.34074852,723,4.7,688,Medium,Locals
Smart Nation Conference in Bangkok,Technology,"Join leading tech minds and innovators at the Smart Nation Conference in Bangkok, where the future of technology unfolds in Bangkok.",3/5/2025 15:36,1,Bangkok,Thailand,16.65541789,100.7823291,507,3.6,925,Free,Everyone
Authentic Asia Travel Connect in Nakhon Ratchasima,Travel,"Meet fellow travelers and discover new destinations at the Authentic Asia Travel Connect in Nakhon Ratchasima, spotlighting adventure and exploration in Nakhon Ratchasima.",3/9/2025 13:50,2,Nakhon Ratchasima,Thailand,11.07701649,101.5281517,96,3.8,268,Low,Everyone
Smart Learning Thailand in Chonburi,Education,"Engage in dialogue and discovery at the Smart Learning Thailand in Chonburi, an inspiring event promoting lifelong learning in Chonburi.",3/8/2025 15:41,1,Chonburi,Thailand,6.041930944,104.8836425,1895,3.1,607,Low,Nomads
Thailand Adventure Expo in Trang,Travel,"Meet fellow travelers and discover new destinations at the Thailand Adventure Expo in Trang, spotlighting adventure and exploration in Trang.",1/6/2025 9:49,2,Trang,Thailand,7.048672044,104.6006277,4912,3.8,951,Free,Locals
Floating Lotus Ritual of Food in Hat Yai,Food,"Experience the taste of Thailand at the Floating Lotus Ritual of Food in Hat Yai, featuring iconic dishes and culinary traditions from Hat Yai.",1/26/2025 1:23,2,Hat Yai,Thailand,13.32745292,97.50436244,3738,4.5,500,Low,Everyone
Colors of Siam Art Expo in Koh Samui,Arts,"Explore Thai creativity at the Colors of Siam Art Expo in Koh Samui, a vibrant showcase of traditional and contemporary arts in Koh Samui.",3/3/2025 0:56,5,Koh Samui,Thailand,13.40458502,100.9406657,3710,4.4,450,Low,Expats
Rice Spirit Ceremony of Sports in Khon Kaen,Sports,"Compete or cheer at the Rice Spirit Ceremony of Sports in Khon Kaen, an action-packed sports celebration highlighting strength and spirit in Khon Kaen.",1/29/2025 11:38,6,Khon Kaen,Thailand,10.89962659,100.7326015,3943,4.7,316,High,Locals
Southern Beats Showcase in Hua Hin,Music,"Enjoy live performances and local rhythms at the Southern Beats Showcase in Hua Hin, celebrating Thai music culture in Hua Hin.",3/9/2025 9:29,5,Hua Hin,Thailand,19.64075773,104.1992719,2578,4.5,857,Free,Locals
Eco & Adventure Tourism Thailand in Chiang Mai,Travel,"Meet fellow travelers and discover new destinations at the Eco & Adventure Tourism Thailand in Chiang Mai, spotlighting adventure and exploration in Chiang Mai.",1/28/2025 20:18,5,Chiang Mai,Thailand,18.67662462,98.35090389,2251,4.4,985,Free,Expats
Travel Tech Asia in Udon Thani,Travel,"Meet fellow travelers and discover new destinations at the Travel Tech Asia in Udon Thani, spotlighting adventure and exploration in Udon Thani.",1/1/2025 11:19,5,Udon Thani,Thailand,5.272122204,100.8366786,3284,3.8,98,Low,Expats
Traditional Cultural Showcase of Sports in Chonburi,Sports,"Compete or cheer at the Traditional Cultural Showcase of Sports in Chonburi, an action-packed sports celebration highlighting strength and spirit in Chonburi.",2/2/2025 18:41,5,Chonburi,Thailand,15.51026788,103.5170287,475,3.4,357,Medium,Nomads
Lotus Floating Festival of Arts in Phuket,Arts,"Explore Thai creativity at the Lotus Floating Festival of Arts in Phuket, a vibrant showcase of traditional and contemporary arts in Phuket.",1/25/2025 13:57,1,Phuket,Thailand,5.600051726,96.45512823,2514,4.8,176,Low,Expats
TechSphere Bangkok in Trang,Technology,"Join leading tech minds and innovators at the TechSphere Bangkok in Trang, where the future of technology unfolds in Trang.",1/2/2025 2:13,5,Trang,Thailand,12.22272301,99.31661292,1748,3.4,987,Low,Everyone
Nomad Life Expo in Rayong,Travel,"Meet fellow travelers and discover new destinations at the Nomad Life Expo in Rayong, spotlighting adventure and exploration in Rayong.",2/23/2025 5:58,1,Rayong,Thailand,13.7579263,101.9225154,3722,3.6,371,Medium,Locals
SecureTech Connect in Koh Samui,Technology,"Join leading tech minds and innovators at the SecureTech Connect in Koh Samui, where the future of technology unfolds in Koh Samui.",1/15/2025 12:44,6,Koh Samui,Thailand,14.98547044,98.19656148,310,3.9,244,Medium,Locals
Lanna Lantern Display of Arts in Chiang Mai,Arts,"Explore Thai creativity at the Lanna Lantern Display of Arts in Chiang Mai, a vibrant showcase of traditional and contemporary arts in Chiang Mai.",3/5/2025 4:12,3,Chiang Mai,Thailand,6.679275524,100.5854385,2837,3.7,326,Low,Everyone
Local Trails & Taste Expo in Chiang Rai,Travel,"Meet fellow travelers and discover new destinations at the Local Trails & Taste Expo in Chiang Rai, spotlighting adventure and exploration in Chiang Rai.",2/23/2025 19:32,3,Chiang Rai,Thailand,19.22917822,102.1061162,3840,3.3,607,High,Locals
Local Trails & Taste Expo in Ayutthaya,Travel,"Meet fellow travelers and discover new destinations at the Local Trails & Taste Expo in Ayutthaya, spotlighting adventure and exploration in Ayutthaya.",2/9/2025 6:17,1,Ayutthaya,Thailand,17.93285427,97.14201203,2527,4.9,162,Medium,Expats
Thai Indie Sound Festival in Khon Kaen,Music,"Enjoy live performances and local rhythms at the Thai Indie Sound Festival in Khon Kaen, celebrating Thai music culture in Khon Kaen.",3/17/2025 7:02,4,Khon Kaen,Thailand,7.635068975,104.8510048,2743,3.3,173,Free,Locals
Folk Rhythms Thailand in Hua Hin,Music,"Enjoy live performances and local rhythms at the Folk Rhythms Thailand in Hua Hin, celebrating Thai music culture in Hua Hin.",3/4/2025 23:58,1,Hua Hin,Thailand,10.23696475,96.92129253,221,5.0,264,Low,Nomads
Hidden Gems Tourism Showcase in Chonburi,Travel,"Meet fellow travelers and discover new destinations at the Hidden Gems Tourism Showcase in Chonburi, spotlighting adventure and exploration in Chonburi.",1/24/2025 0:35,5,Chonburi,Thailand,7.546929924,100.3527887,2419,3.4,498,High,Expats
Cultural Harmony Music Fest in Ayutthaya,Music,"Enjoy live performances and local rhythms at the Cultural Harmony Music Fest in Ayutthaya, celebrating Thai music culture in Ayutthaya.",3/4/2025 13:46,4,Ayutthaya,Thailand,6.289316973,95.47373741,3774,3.4,220,High,Everyone
Sustainable Travel Thailand in Pattaya,Travel,"Meet fellow travelers and discover new destinations at the Sustainable Travel Thailand in Pattaya, spotlighting adventure and exploration in Pattaya.",1/3/2025 13:43,2,Pattaya,Thailand,18.97552238,102.7977272,998,4.5,80,High,Nomads
Traditional Knowledge Forum in Rayong,Education,"Engage in dialogue and discovery at the Traditional Knowledge Forum in Rayong, an inspiring event promoting lifelong learning in Rayong.",2/5/2025 11:26,3,Rayong,Thailand,6.478912091,98.29744389,3903,3.7,521,Medium,Locals
Lantern Melody Night in Bangkok,Music,"Enjoy live performances and local rhythms at the Lantern Melody Night in Bangkok, celebrating Thai music culture in Bangkok.",2/9/2025 13:49,3,Bangkok,Thailand,19.18446626,99.8600336,131,3.9,122,High,Expats
Elephant Spirit Ceremony of Arts in Khon Kaen,Arts,"Explore Thai creativity at the Elephant Spirit Ceremony of Arts in Khon Kaen, a vibrant showcase of traditional and contemporary arts in Khon Kaen.",1/18/2025 5:29,2,Khon Kaen,Thailand,7.046036105,100.6871939,3616,3.6,435,Low,Locals
River Vibes Live in Khon Kaen,Music,"Enjoy live performances and local rhythms at the River Vibes Live in Khon Kaen, celebrating Thai music culture in Khon Kaen.",3/5/2025 8:45,4,Khon Kaen,Thailand,7.771287042,95.80305614,629,3.8,271,High,Locals
Thailand Regional Tourism Forum in Surat Thani,Travel,"Meet fellow travelers and discover new destinations at the Thailand Regional Tourism Forum in Surat Thani, spotlighting adventure and exploration in Surat Thani.",2/10/2025 16:45,2,Surat Thani,Thailand,8.747071358,101.4968174,3399,4.4,902,High,Expats
Discover Thailand Tourism Fair in Ayutthaya,Travel,"Meet fellow travelers and discover new destinations at the Discover Thailand Tourism Fair in Ayutthaya, spotlighting adventure and exploration in Ayutthaya.",1/28/2025 23:52,1,Ayutthaya,Thailand,18.05491037,98.56037528,330,3.9,760,High,Expats
Digital Futures Forum in Krabi,Technology,"Join leading tech minds and innovators at the Digital Futures Forum in Krabi, where the future of technology unfolds in Krabi.",2/13/2025 19:21,6,Krabi,Thailand,10.96125681,99.13724583,1349,3.7,601,High,Nomads
Floating Festival of Arts in Hat Yai,Arts,"Explore Thai creativity at the Floating Festival of Arts in Hat Yai, a vibrant showcase of traditional and contemporary arts in Hat Yai.",3/16/2025 22:43,5,Hat Yai,Thailand,12.70064825,95.22511872,3435,4.0,408,Low,Nomads
Creative Minds Exchange in Pattaya,Education,"Engage in dialogue and discovery at the Creative Minds Exchange in Pattaya, an inspiring event promoting lifelong learning in Pattaya.",2/9/2025 12:48,4,Pattaya,Thailand,12.39526575,99.52632002,589,4.7,396,Low,Everyone
Thai Indie Sound Festival in Bangkok,Music,"Enjoy live performances and local rhythms at the Thai Indie Sound Festival in Bangkok, celebrating Thai music culture in Bangkok.",3/11/2025 15:37,1,Bangkok,Thailand,19.3010981,99.42154751,1448,3.9,373,Medium,Locals
SmartCity Innovation Fair in Chiang Mai,Technology,"Join leading tech minds and innovators at the SmartCity Innovation Fair in Chiang Mai, where the future of technology unfolds in Chiang Mai.",2/7/2025 15:36,4,Chiang Mai,Thailand,7.939576029,98.34447078,4288,3.6,638,Low,Everyone
Eco & Adventure Tourism Thailand in Kanchanaburi,Travel,"Meet fellow travelers and discover new destinations at the Eco & Adventure Tourism Thailand in Kanchanaburi, spotlighting adventure and exploration in Kanchanaburi.",2/3/2025 20:37,1,Kanchanaburi,Thailand,19.76317832,103.5918093,3614,3.4,456,High,Everyone
Smart Learning Thailand in Khon Kaen,Education,"Engage in dialogue and discovery at the Smart Learning Thailand in Khon Kaen, an inspiring event promoting lifelong learning in Khon Kaen.",2/11/2025 18:41,1,Khon Kaen,Thailand,9.627552676,101.4463308,1628,3.0,343,High,Nomads
Rice Folk Dance Night of Arts in Udon Thani,Arts,"Explore Thai creativity at the Rice Folk Dance Night of Arts in Udon Thani, a vibrant showcase of traditional and contemporary arts in Udon Thani.",3/7/2025 15:13,3,Udon Thani,Thailand,17.19282858,98.28175195,1241,3.7,740,Medium,Nomads
EduFuture Forum Thailand in Chonburi,Education,"Engage in dialogue and discovery at the EduFuture Forum Thailand in Chonburi, an inspiring event promoting lifelong learning in Chonburi.",1/11/2025 11:04,2,Chonburi,Thailand,16.94862361,97.24419189,2482,4.4,216,Free,Everyone
Cultural Canvas Showcase in Chonburi,Arts,"Explore Thai creativity at the Cultural Canvas Showcase in Chonburi, a vibrant showcase of traditional and contemporary arts in Chonburi.",3/16/2025 9:17,5,Chonburi,Thailand,16.46890917,99.69037063,3389,3.6,27,Free,Everyone
Sustainable Travel Thailand in Samut Prakan,Travel,"Meet fellow travelers and discover new destinations at the Sustainable Travel Thailand in Samut Prakan, spotlighting adventure and exploration in Samut Prakan.",3/9/2025 0:59,1,Samut Prakan,Thailand,7.497719404,98.40380639,2794,4.3,549,Free,Everyone
Elephant Silk Festival of Food in Nakhon Ratchasima,Food,"Experience the taste of Thailand at the Elephant Silk Festival of Food in Nakhon Ratchasima, featuring iconic dishes and culinary traditions from Nakhon Ratchasima.",1/12/2025 11:18,1,Nakhon Ratchasima,Thailand,10.88924014,99.11584685,4826,4.3,871,Free,Everyone
Thai Islands Explorer Fest in Phuket,Travel,"Meet fellow travelers and discover new destinations at the Thai Islands Explorer Fest in Phuket, spotlighting adventure and exploration in Phuket.",2/28/2025 19:31,1,Phuket,Thailand,14.1184906,103.3750471,1809,4.7,516,Free,Everyone
Royal Ayutthaya Showcase of Sports in Nonthaburi,Sports,"Compete or cheer at the Royal Ayutthaya Showcase of Sports in Nonthaburi, an action-packed sports celebration highlighting strength and spirit in Nonthaburi.",1/15/2025 23:07,6,Nonthaburi,Thailand,19.45458748,104.8525683,2147,3.7,450,Low,Everyone
Thai Indie Sound Festival in Koh Samui,Music,"Enjoy live performances and local rhythms at the Thai Indie Sound Festival in Koh Samui, celebrating Thai music culture in Koh Samui.",2/20/2025 13:29,1,Koh Samui,Thailand,8.244521377,100.6317739,1081,4.0,431,Free,Everyone
